"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"MYS","6203","USA",2016,6,35762.078,"Malaysia","United States","Export",,2730436,"Item"
"MYS","6203","WLD",2015,4,1.167,"Malaysia"," World","Re-Import",,670,"Item"
"MYS","6203","WLD",2015,5,190734.398,"Malaysia"," World","Import",,40225029,"Item"
"MYS","6203","WLD",2015,6,81351.205,"Malaysia"," World","Export",,9258470,"Item"
"MYS","6203","WLD",2016,4,12.374,"Malaysia"," World","Re-Import",,1842,"Item"
"MYS","6203","WLD",2016,5,214474.423,"Malaysia"," World","Import",,53904823,"Item"
"MYS","6203","WLD",2016,6,76908.324,"Malaysia"," World","Export",,7835009,"Item"
"MYS","7208","CHN",2015,5,55801.136,"Malaysia","China","Import",117536563,117536563,"Kg"
"MYS","7208","CHN",2015,6,120.753,"Malaysia","China","Export",58785,58785,"Kg"
"MYS","7208","CHN",2016,5,48247.525,"Malaysia","China","Import",115347254,115347254,"Kg"
"MYS","7208","USA",2015,5,31.081,"Malaysia","United States","Import",27033,27033,"Kg"
"MYS","7208","USA",2015,6,645.672,"Malaysia","United States","Export",1506495,1506495,"Kg"
"MYS","7208","USA",2016,5,30.125,"Malaysia","United States","Import",3142,3142,"Kg"
"MYS","7208","USA",2016,6,82.806,"Malaysia","United States","Export",187681,187681,"Kg"
"MYS","7208","WLD",2015,5,719740.872,"Malaysia"," World","Import",1478431122,1478431122,"Kg"
"MYS","7208","WLD",2015,6,9760.342,"Malaysia"," World","Export",12629624,12629624,"Kg"
"MYS","7208","WLD",2016,4,8.268,"Malaysia"," World","Re-Import",,3072,"Kg"
"MYS","7208","WLD",2016,5,830021.696,"Malaysia"," World","Import",1940844699,1940844699,"Kg"
"MYS","7208","WLD",2016,6,13453.545,"Malaysia"," World","Export",25512747,25512747,"Kg"
"MYS","7308","CHN",2015,5,152107.86,"Malaysia","China","Import",133171047,133171047,"Kg"
"MYS","7308","CHN",2015,6,2705.709,"Malaysia","China","Export",1440889,1440889,"Kg"
"MYS","7308","CHN",2016,5,195714.477,"Malaysia","China","Import",164553511,164553511,"Kg"
"MYS","7308","CHN",2016,6,1393.021,"Malaysia","China","Export",674558,674558,"Kg"
"MYS","7308","USA",2015,5,2932.407,"Malaysia","United States","Import",287992,287992,"Kg"
"MYS","7308","USA",2015,6,1697.995,"Malaysia","United States","Export",777218,777218,"Kg"
"MYS","7308","USA",2016,5,55585.242,"Malaysia","United States","Import",3502231,3502231,"Kg"
"MYS","7308","USA",2016,6,1746.631,"Malaysia","United States","Export",625600,625600,"Kg"
"MYS","7308","WLD",2015,4,10.334,"Malaysia"," World","Re-Import",,990,"Kg"
"MYS","7308","WLD",2015,5,250374.62,"Malaysia"," World","Import",176638529,176638529,"Kg"
"MYS","7308","WLD",2015,6,929547.116,"Malaysia"," World","Export",325371591,325371591,"Kg"
"MYS","7308","WLD",2016,4,30.869,"Malaysia"," World","Re-Import",,18684,"Kg"
"MYS","7308","WLD",2016,5,366904.501,"Malaysia"," World","Import",235891763,235891763,"Kg"
"MYS","7308","WLD",2016,6,542937.543,"Malaysia"," World","Export",282408380,282408380,"Kg"
"MYS","8414","CHN",2015,5,254730.711,"Malaysia","China","Import",28100714,,"N.Q."
"MYS","8414","CHN",2015,6,21345.656,"Malaysia","China","Export",1246022,,"N.Q."
"MYS","8414","CHN",2016,5,274056.646,"Malaysia","China","Import",30980089,,"N.Q."
"MYS","8414","CHN",2016,6,23256.796,"Malaysia","China","Export",2611121,,"N.Q."
"MYS","8414","USA",2015,5,44038.971,"Malaysia","United States","Import",2706437,,"N.Q."
"MYS","8414","USA",2015,6,76894.122,"Malaysia","United States","Export",5171367,,"N.Q."
"MYS","8414","USA",2016,5,37557.222,"Malaysia","United States","Import",1583501,,"N.Q."
"MYS","8414","USA",2016,6,87255.315,"Malaysia","United States","Export",9979284,,"N.Q."
"MYS","8414","WLD",2015,4,44.946,"Malaysia"," World","Re-Import",,,"N.Q."
"MYS","8414","WLD",2015,5,687957.066,"Malaysia"," World","Import",66485637,,"N.Q."
"MYS","8414","WLD",2015,6,670156.902,"Malaysia"," World","Export",69855038,,"N.Q."
"MYS","8414","WLD",2016,4,186.886,"Malaysia"," World","Re-Import",,,"N.Q."
"MYS","8414","WLD",2016,5,748260.91,"Malaysia"," World","Import",75874672,,"N.Q."
"MYS","8414","WLD",2016,6,605993.15,"Malaysia"," World","Export",75575553,,"N.Q."
"MYS","8465","CHN",2015,5,28185.319,"Malaysia","China","Import",2023233,25593,"Item"
"MYS","8465","CHN",2015,6,492.113,"Malaysia","China","Export",33288,878,"Item"
"MYS","8465","CHN",2016,5,26220.155,"Malaysia","China","Import",2136873,435331,"Item"
"MYS","8465","CHN",2016,6,699.666,"Malaysia","China","Export",51937,17,"Item"
"MYS","8465","USA",2015,5,2107.292,"Malaysia","United States","Import",121565,327,"Item"
"MYS","8465","USA",2015,6,392.31,"Malaysia","United States","Export",22372,37,"Item"
"MYS","8465","USA",2016,5,2321.223,"Malaysia","United States","Import",152951,407,"Item"
"MYS","8465","USA",2016,6,196.375,"Malaysia","United States","Export",11323,22,"Item"
"MYS","8465","WLD",2015,5,117607.512,"Malaysia"," World","Import",7927300,40650,"Item"
"MYS","8465","WLD",2015,6,10317.422,"Malaysia"," World","Export",643013,4898,"Item"
"MYS","8465","WLD",2016,5,85995.014,"Malaysia"," World","Import",6791937,471331,"Item"
"MYS","8465","WLD",2016,6,14964.771,"Malaysia"," World","Export",1111901,4385,"Item"
"MYS","8471","CHN",2015,5,1276888.063,"Malaysia","China","Import",,23113556,"Item"
"MYS","8471","CHN",2015,6,1457881.636,"Malaysia","China","Export",,34760506,"Item"
"MYS","8471","CHN",2016,5,1211650.234,"Malaysia","China","Import",,18761720,"Item"
