"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"CHN","6109","ASEAN",2016,6,240048.445,"China","Asia Tenggara --- ASEAN  ","Export",13445113,51867816.543,"Item"
"CHN","6109","BRN",2015,5,0.042,"China","Brunei","Import",1,1,"Item"
"CHN","6109","BRN",2015,6,2391.456,"China","Brunei","Export",67821,1681128,"Item"
"CHN","6109","BRN",2016,5,100.509,"China","Brunei","Import",2971,22783.72,"Item"
"CHN","6109","BRN",2016,6,402.437,"China","Brunei","Export",32278,93381.189,"Item"
"CHN","6109","IDN",2015,5,15212.029,"China","Indonesia","Import",444954,4401106,"Item"
"CHN","6109","IDN",2015,6,24594.966,"China","Indonesia","Export",615822,7596616,"Item"
"CHN","6109","IDN",2016,5,26854.794,"China","Indonesia","Import",786434,5176001.719,"Item"
"CHN","6109","IDN",2016,6,10341.259,"China","Indonesia","Export",655425,2318280.173,"Item"
"CHN","6109","KHM",2015,5,26929.139,"China","Cambodia","Import",813437,6534679,"Item"
"CHN","6109","KHM",2015,6,2014.328,"China","Cambodia","Export",49859,895763,"Item"
"CHN","6109","KHM",2016,5,36055.309,"China","Cambodia","Import",1190265,7609568.473,"Item"
"CHN","6109","KHM",2016,6,803.521,"China","Cambodia","Export",82041,157266.985,"Item"
"CHN","6109","LAO",2015,5,236.98,"China","Lao PDR","Import",7686,28193,"Item"
"CHN","6109","LAO",2015,6,4.261,"China","Lao PDR","Export",115,629,"Item"
"CHN","6109","LAO",2016,5,224.892,"China","Lao PDR","Import",4362,48774.38,"Item"
"CHN","6109","MMR",2015,5,854.796,"China","Myanmar","Import",25639,282804,"Item"
"CHN","6109","MMR",2015,6,546.441,"China","Myanmar","Export",15725,224797,"Item"
"CHN","6109","MMR",2016,5,738.324,"China","Myanmar","Import",27754,149721.406,"Item"
"CHN","6109","MMR",2016,6,1459.753,"China","Myanmar","Export",69505,329297.453,"Item"
"CHN","6109","MYS",2015,5,1821.883,"China","Malaysia","Import",59136,712985,"Item"
"CHN","6109","MYS",2015,6,95458.014,"China","Malaysia","Export",2492958,27366531,"Item"
"CHN","6109","MYS",2016,5,2851.866,"China","Malaysia","Import",109886,646129.907,"Item"
"CHN","6109","MYS",2016,6,71424.611,"China","Malaysia","Export",4135611,15610018.826,"Item"
"CHN","6109","PHL",2015,5,2283.183,"China","Philippines","Import",59179,632311,"Item"
"CHN","6109","PHL",2015,6,58207.549,"China","Philippines","Export",1552995,23944634,"Item"
"CHN","6109","PHL",2016,5,8353.529,"China","Philippines","Import",225983,1511032.051,"Item"
"CHN","6109","PHL",2016,6,49513.877,"China","Philippines","Export",3247629,10566481.497,"Item"
"CHN","6109","SGP",2015,5,11.671,"China","Singapore","Import",373,1527,"Item"
"CHN","6109","SGP",2015,6,80462.493,"China","Singapore","Export",2095964,23682222,"Item"
"CHN","6109","SGP",2016,5,31.488,"China","Singapore","Import",846,6400.81,"Item"
"CHN","6109","SGP",2016,6,66054.936,"China","Singapore","Export",3282627,14114696.727,"Item"
"CHN","6109","THA",2015,5,18787.758,"China","Thailand","Import",485747,2029193,"Item"
"CHN","6109","THA",2015,6,26571.12,"China","Thailand","Export",706519,7325974,"Item"
"CHN","6109","THA",2016,5,22922.609,"China","Thailand","Import",387161,4256404.774,"Item"
"CHN","6109","THA",2016,6,28744.867,"China","Thailand","Export",1410657,6265192.708,"Item"
"CHN","6109","USA",2015,5,1635,"China","United States","Import",48544,167523,"Item"
"CHN","6109","USA",2015,6,2032068.558,"China","United States","Export",51427185,700039863,"Item"
"CHN","6109","USA",2016,5,4515.199,"China","United States","Import",47379,965287.997,"Item"
"CHN","6109","USA",2016,6,1951777.845,"China","United States","Export",106183842,404128878.728,"Item"
"CHN","6109","VNM",2015,5,93613.174,"China","Vietnam","Import",2706771,20554095,"Item"
"CHN","6109","VNM",2015,6,11384.907,"China","Vietnam","Export",287528,3495651,"Item"
"CHN","6109","VNM",2016,5,102914.253,"China","Vietnam","Import",3421813,20919033.051,"Item"
"CHN","6109","VNM",2016,6,11303.184,"China","Vietnam","Export",529340,2413200.986,"Item"
"CHN","6109","WLD",2015,4,68863.025,"China"," World","Re-Import",,8895421,"Item"
"CHN","6109","WLD",2015,5,535490.456,"China"," World","Import",16088394,121098940,"Item"
