"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"IDN","6109","CHN",2019,5,35731.529,"Indonesia","China","Import",3461299,7766975.373,"Item"
"IDN","6109","CHN",2019,6,23218.802,"Indonesia","China","Export",1037468,4155379.42,"Item"
"IDN","6109","CHN",2020,5,25757.063,"Indonesia","China","Import",2637890,4768853.745,"Item"
"IDN","6109","CHN",2020,6,18301.651,"Indonesia","China","Export",703661,3250257.02,"Item"
"IDN","6109","USA",2017,5,434.301,"Indonesia","United States","Import",9751,90859.999,"Item"
"IDN","6109","USA",2017,6,195117.726,"Indonesia","United States","Export",13641416,38490416.918,"Item"
"IDN","6109","USA",2018,5,864.622,"Indonesia","United States","Import",12446,186651.341,"Item"
"IDN","6109","USA",2018,6,188880.394,"Indonesia","United States","Export",9963131,35847742.743,"Item"
"IDN","6109","USA",2019,5,318.136,"Indonesia","United States","Import",7773,69642.715,"Item"
"IDN","6109","USA",2019,6,157032.988,"Indonesia","United States","Export",7661119,29590208.079,"Item"
"IDN","6109","USA",2020,5,368.145,"Indonesia","United States","Import",10245,68436.807,"Item"
"IDN","6109","USA",2020,6,133333.802,"Indonesia","United States","Export",6901745,23946824.864,"Item"
"IDN","6109","WLD",2017,4,3.674,"Indonesia"," World","Re-Import",,772.988,"Item"
"IDN","6109","WLD",2017,5,62028.116,"Indonesia"," World","Import",4741290,13421796.803,"Item"
"IDN","6109","WLD",2017,6,528517.625,"Indonesia"," World","Export",37572843,98752673.582,"Item"
"IDN","6109","WLD",2018,4,0.037,"Indonesia"," World","Re-Import",,6.394,"Item"
"IDN","6109","WLD",2018,5,85266.182,"Indonesia"," World","Import",5987836,18011875.063,"Item"
"IDN","6109","WLD",2018,6,552367.03,"Indonesia"," World","Export",35084463,99458898.023,"Item"
"IDN","6109","WLD",2019,4,135.859,"Indonesia"," World","Re-Import",,25019.694,"Item"
"IDN","6109","WLD",2019,5,97256.547,"Indonesia"," World","Import",6320395,21220724.46,"Item"
"IDN","6109","WLD",2019,6,443521.608,"Indonesia"," World","Export",29218828,81038977.579,"Item"
"IDN","6109","WLD",2020,4,14.368,"Indonesia"," World","Re-Import",,2644.789,"Item"
"IDN","6109","WLD",2020,5,66732.644,"Indonesia"," World","Import",4723728,12464452.407,"Item"
"IDN","6109","WLD",2020,6,438358.284,"Indonesia"," World","Export",27981539,76360614.657,"Item"
"IDN","6203","CHN",2017,5,17596.967,"Indonesia","China","Import",2674852,1346703.141,"Item"
"IDN","6203","CHN",2017,6,22826.446,"Indonesia","China","Export",918053,1285975.72,"Item"
"IDN","6203","CHN",2018,5,24872.944,"Indonesia","China","Import",2514859,1764486.395,"Item"
"IDN","6203","CHN",2018,6,45046.681,"Indonesia","China","Export",1524807,2168580.586,"Item"
"IDN","6203","CHN",2019,5,19971.555,"Indonesia","China","Import",1487742,1497042.644,"Item"
"IDN","6203","CHN",2019,6,31742.532,"Indonesia","China","Export",1125838,1496983.415,"Item"
"IDN","6203","CHN",2020,5,14629.699,"Indonesia","China","Import",1221155,966637.494,"Item"
"IDN","6203","CHN",2020,6,32725.369,"Indonesia","China","Export",1103220,1430492.794,"Item"
"IDN","6203","USA",2017,5,650.324,"Indonesia","United States","Import",11115,22591.039,"Item"
"IDN","6203","USA",2017,6,360392.323,"Indonesia","United States","Export",16770479,18750696.282,"Item"
"IDN","6203","USA",2018,5,566.142,"Indonesia","United States","Import",8641,33934.546,"Item"
"IDN","6203","USA",2018,6,402127.506,"Indonesia","United States","Export",17733360,17457927.371,"Item"
"IDN","6203","USA",2019,5,264.905,"Indonesia","United States","Import",8417,13783.883,"Item"
"IDN","6203","USA",2019,6,415416.433,"Indonesia","United States","Export",18427475,20171206.825,"Item"
"IDN","6203","USA",2020,5,253.514,"Indonesia","United States","Import",5916,16490.128,"Item"
"IDN","6203","USA",2020,6,278095.717,"Indonesia","United States","Export",13471167,14663781.053,"Item"
"IDN","6203","WLD",2017,5,46971.112,"Indonesia"," World","Import",3852253,0,"N.Q."
"IDN","6203","WLD",2017,6,723777.72,"Indonesia"," World","Export",39207912,0,"N.Q."
"IDN","6203","WLD",2018,5,60065.098,"Indonesia"," World","Import",3973256,4167442.624,"Item"
"IDN","6203","WLD",2018,6,813302.353,"Indonesia"," World","Export",38005457,0,"N.Q."
"IDN","6203","WLD",2019,4,98.392,"Indonesia"," World","Re-Import",,7387.087,"Item"
"IDN","6203","WLD",2019,5,57975.452,"Indonesia"," World","Import",3051892,4357487.041,"Item"
"IDN","6203","WLD",2019,6,849566.215,"Indonesia"," World","Export",41563739,0,"N.Q."
"IDN","6203","WLD",2020,4,14.694,"Indonesia"," World","Re-Import",,969.571,"Item"
"IDN","6203","WLD",2020,5,42615.1,"Indonesia"," World","Import",2484999,2866225.24,"Item"
"IDN","6203","WLD",2020,6,639181.659,"Indonesia"," World","Export",34210378,0,"N.Q."
"IDN","7208","CHN",2017,5,59833.368,"Indonesia","China","Import",110598277,110598277,"Kg"
"IDN","7208","CHN",2017,6,6.836,"Indonesia","China","Export",10356,10356.199,"Kg"
