"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"USA","8471","WLD",2020,3,14193694.139,"United States"," World","Re-Export",0,62116887,"Item"
"USA","8471","WLD",2020,5,104948206.719,"United States"," World","Import",468332919,414670447,"Item"
"USA","8471","WLD",2020,6,10582638.397,"United States"," World","Export",0,16626596,"Item"
"USA","8504","ASEAN",2017,3,83270.529,"United States","Asia Tenggara --- ASEAN  ","Re-Export",,,""
"USA","8504","ASEAN",2017,5,1218880.186,"United States","Asia Tenggara --- ASEAN  ","Import",,,""
"USA","8504","ASEAN",2017,6,182402.329,"United States","Asia Tenggara --- ASEAN  ","Export",,,""
"USA","8504","ASEAN",2018,3,90356.379,"United States","Asia Tenggara --- ASEAN  ","Re-Export",0,0,"N.Q."
"USA","8504","ASEAN",2018,5,1400619.533,"United States","Asia Tenggara --- ASEAN  ","Import",,,""
"USA","8504","ASEAN",2018,6,193261.002,"United States","Asia Tenggara --- ASEAN  ","Export",690,0,"N.Q."
"USA","8504","ASEAN",2019,3,100842.645,"United States","Asia Tenggara --- ASEAN  ","Re-Export",,,""
"USA","8504","ASEAN",2019,5,1755894.136,"United States","Asia Tenggara --- ASEAN  ","Import",37931948,0,"N.Q."
"USA","8504","ASEAN",2019,6,215554.834,"United States","Asia Tenggara --- ASEAN  ","Export",,,""
"USA","8504","ASEAN",2020,3,100232.801,"United States","Asia Tenggara --- ASEAN  ","Re-Export",0,17212274,"Item"
"USA","8504","ASEAN",2020,5,2414246.36,"United States","Asia Tenggara --- ASEAN  ","Import",,,""
"USA","8504","ASEAN",2020,6,201999.307,"United States","Asia Tenggara --- ASEAN  ","Export",,,""
"USA","8504","BRN",2017,3,4.293,"United States","Brunei","Re-Export",0,1,"Item"
"USA","8504","BRN",2017,6,217.61,"United States","Brunei","Export",0,445.887,"Item"
"USA","8504","BRN",2018,3,21.361,"United States","Brunei","Re-Export",0,0,"N.Q."
"USA","8504","BRN",2018,5,2.089,"United States","Brunei","Import",41,111.487,"Item"
"USA","8504","BRN",2018,6,293.448,"United States","Brunei","Export",0,0,"N.Q."
"USA","8504","BRN",2019,3,138.249,"United States","Brunei","Re-Export",0,588,"Item"
"USA","8504","BRN",2019,6,286.399,"United States","Brunei","Export",0,227,"Item"
"USA","8504","BRN",2020,3,99.354,"United States","Brunei","Re-Export",0,179,"Item"
"USA","8504","BRN",2020,5,29.273,"United States","Brunei","Import",571,44,"Item"
"USA","8504","BRN",2020,6,105.059,"United States","Brunei","Export",,,""
"USA","8504","CHN",2017,3,103810.65,"United States","China","Re-Export",0,0,"N.Q."
"USA","8504","CHN",2017,5,5840839.954,"United States","China","Import",140661233,0,"N.Q."
"USA","8504","CHN",2017,6,282151.671,"United States","China","Export",0,0,"N.Q."
"USA","8504","CHN",2018,3,99268.086,"United States","China","Re-Export",0,0,"N.Q."
"USA","8504","CHN",2018,5,6396966.935,"United States","China","Import",144374592,0,"N.Q."
"USA","8504","CHN",2018,6,364631.248,"United States","China","Export",0,0,"N.Q."
"USA","8504","CHN",2019,3,96997.084,"United States","China","Re-Export",0,0,"N.Q."
"USA","8504","CHN",2019,5,4942743.684,"United States","China","Import",113149352,0,"N.Q."
"USA","8504","CHN",2019,6,233918.805,"United States","China","Export",0,0,"N.Q."
"USA","8504","CHN",2020,3,106502.693,"United States","China","Re-Export",0,11429680,"Item"
"USA","8504","CHN",2020,5,4351765.373,"United States","China","Import",102509473,0,"N.Q."
"USA","8504","CHN",2020,6,256247.912,"United States","China","Export",,,""
"USA","8504","IDN",2017,3,1472.229,"United States","Indonesia","Re-Export",0,0,"N.Q."
"USA","8504","IDN",2017,5,52684.827,"United States","Indonesia","Import",1252978,0,"N.Q."
"USA","8504","IDN",2017,6,9133.378,"United States","Indonesia","Export",0,0,"N.Q."
"USA","8504","IDN",2018,3,1540.382,"United States","Indonesia","Re-Export",0,0,"N.Q."
"USA","8504","IDN",2018,5,43970.778,"United States","Indonesia","Import",1003564,0,"N.Q."
"USA","8504","IDN",2018,6,5687.105,"United States","Indonesia","Export",0,0,"N.Q."
"USA","8504","IDN",2019,3,2008.86,"United States","Indonesia","Re-Export",0,0,"N.Q."
"USA","8504","IDN",2019,5,48227.914,"United States","Indonesia","Import",1172059,0,"N.Q."
"USA","8504","IDN",2019,6,6585.356,"United States","Indonesia","Export",0,0,"N.Q."
"USA","8504","IDN",2020,3,1966.57,"United States","Indonesia","Re-Export",0,781998,"Item"
"USA","8504","IDN",2020,5,58953.486,"United States","Indonesia","Import",1208511,0,"N.Q."
"USA","8504","IDN",2020,6,13779.105,"United States","Indonesia","Export",,,""
"USA","8504","KHM",2017,6,17.72,"United States","Cambodia","Export",356,25.657,"Item"
"USA","8504","KHM",2018,5,745.994,"United States","Cambodia","Import",14647,0,"N.Q."
"USA","8504","KHM",2018,6,31.468,"United States","Cambodia","Export",690,0,"N.Q."
"USA","8504","KHM",2019,3,55.619,"United States","Cambodia","Re-Export",0,114,"Item"
"USA","8504","KHM",2019,5,4486.935,"United States","Cambodia","Import",97076,0,"N.Q."
"USA","8504","KHM",2019,6,5.925,"United States","Cambodia","Export",0,64,"Item"
"USA","8504","KHM",2020,5,5034.969,"United States","Cambodia","Import",104597,0,"N.Q."
"USA","8504","KHM",2020,6,29.433,"United States","Cambodia","Export",568,0,"N.Q."
"USA","8504","LAO",2018,3,4.165,"United States","Lao PDR","Re-Export",0,0,"N.Q."
"USA","8504","LAO",2018,5,27.31,"United States","Lao PDR","Import",766,32780,"Item"
"USA","8504","LAO",2018,6,0,"United States","Lao PDR","Export",0,0,"N.Q."
