"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"CHN","tradecircum12","ASEAN",2015,5,61681971.065,"China","Asia Tenggara --- ASEAN  ","Import",,,
"CHN","tradecircum12","ASEAN",2015,6,48041498.114,"China","Asia Tenggara --- ASEAN  ","Export",,,
"CHN","tradecircum12","ASEAN",2016,5,62551054.034,"China","Asia Tenggara --- ASEAN  ","Import",,,
"CHN","tradecircum12","ASEAN",2016,6,43603703.296,"China","Asia Tenggara --- ASEAN  ","Export",,,
"CHN","tradecircum12","USA",2015,5,14205631.619,"China","United States","Import",,,
"CHN","tradecircum12","USA",2015,6,121590229.51,"China","United States","Export",,,
"CHN","tradecircum12","USA",2016,5,11211034.321,"China","United States","Import",,,
"CHN","tradecircum12","USA",2016,6,117140861.354,"China","United States","Export",,,
"CHN","tradecircum12","WLD",2015,4,70331378.442,"China"," World","Re-Import",,,
"CHN","tradecircum12","WLD",2015,5,259864125.902,"China"," World","Import",,,
"CHN","tradecircum12","WLD",2015,6,584184294.625,"China"," World","Export",,,
"CHN","tradecircum12","WLD",2016,4,67685980.466,"China"," World","Re-Import",,,
"CHN","tradecircum12","WLD",2016,5,255379702.191,"China"," World","Import",,,
"CHN","tradecircum12","WLD",2016,6,541320343.172,"China"," World","Export",,,
