"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"CHN","8528","THA",2017,6,273073.136,"China","Thailand","Export",6364864,3960326.927,"Item"
"CHN","8528","THA",2018,5,39540.068,"China","Thailand","Import",380136,114545,"Item"
"CHN","8528","THA",2018,6,365654.976,"China","Thailand","Export",0,0,"N.Q."
"CHN","8528","THA",2019,5,3008.802,"China","Thailand","Import",28783,2164,"Item"
"CHN","8528","THA",2019,6,364844.195,"China","Thailand","Export",9084186,14162227.436,"Item"
"CHN","8528","THA",2020,5,2068.96,"China","Thailand","Import",11672,2849,"Item"
"CHN","8528","THA",2020,6,382608.686,"China","Thailand","Export",18327832,12884069,"Item"
"CHN","8528","USA",2017,5,36200.885,"China","United States","Import",332022,0,"N.Q."
"CHN","8528","USA",2017,6,10398608.833,"China","United States","Export",273341426,0,"N.Q."
"CHN","8528","USA",2018,5,47416.604,"China","United States","Import",379825,43511,"Item"
"CHN","8528","USA",2018,6,10686793.621,"China","United States","Export",0,0,"N.Q."
"CHN","8528","USA",2019,5,35501.035,"China","United States","Import",311538,19452,"Item"
"CHN","8528","USA",2019,6,8855111.579,"China","United States","Export",302854727,62020488,"Item"
"CHN","8528","USA",2020,5,37745.812,"China","United States","Import",30735,13837,"Item"
"CHN","8528","USA",2020,6,8167717.429,"China","United States","Export",394451203,64764892.044,"Item"
"CHN","8528","VNM",2017,5,34091.344,"China","Vietnam","Import",446066,0,"N.Q."
"CHN","8528","VNM",2017,6,173773.073,"China","Vietnam","Export",4351675,1781311.16,"Item"
"CHN","8528","VNM",2018,5,22612.83,"China","Vietnam","Import",227846,169465,"Item"
"CHN","8528","VNM",2018,6,200662.003,"China","Vietnam","Export",0,0,"N.Q."
"CHN","8528","VNM",2019,5,6911.899,"China","Vietnam","Import",96862,27831,"Item"
"CHN","8528","VNM",2019,6,232060.919,"China","Vietnam","Export",7449498,4024012,"Item"
"CHN","8528","VNM",2020,5,183404.108,"China","Vietnam","Import",3245252,677905,"Item"
"CHN","8528","VNM",2020,6,349775.014,"China","Vietnam","Export",17728764,6155608,"Item"
"CHN","8528","WLD",2017,4,111389.808,"China"," World","Re-Import",,0,"N.Q."
"CHN","8528","WLD",2017,5,362625.66,"China"," World","Import",,0,"N.Q."
"CHN","8528","WLD",2017,6,31484564.583,"China"," World","Export",825877945,0,"N.Q."
"CHN","8528","WLD",2018,4,109969.788,"China"," World","Re-Import",,762511,"Item"
"CHN","8528","WLD",2018,5,514142.132,"China"," World","Import",4942709,1399813.884,"Item"
"CHN","8528","WLD",2018,6,33434910.477,"China"," World","Export",,0,"N.Q."
"CHN","8528","WLD",2019,4,104836.853,"China"," World","Re-Import",,671465,"Item"
"CHN","8528","WLD",2019,5,681277.159,"China"," World","Import",7250927,1543984.345,"Item"
"CHN","8528","WLD",2019,6,31207374.798,"China"," World","Export",1016603785,343279825.944,"Item"
"CHN","8528","WLD",2020,4,156008.032,"China"," World","Re-Import",,646385,"Item"
"CHN","8528","WLD",2020,5,715923.805,"China"," World","Import",5704643,1823502,"Item"
"CHN","8528","WLD",2020,6,31899668.733,"China"," World","Export",1496887603,353993320.103,"Item"
"CHN","8542","ASEAN",2017,5,47100368.626,"China","Asia Tenggara --- ASEAN  ","Import",15750695,0,"N.Q."
"CHN","8542","ASEAN",2017,6,12837571.832,"China","Asia Tenggara --- ASEAN  ","Export",10733880,0,"N.Q."
"CHN","8542","ASEAN",2018,5,51006720.659,"China","Asia Tenggara --- ASEAN  ","Import",,,""
"CHN","8542","ASEAN",2018,6,16895670.686,"China","Asia Tenggara --- ASEAN  ","Export",225379,0,"N.Q."
"CHN","8542","ASEAN",2019,5,61744154.334,"China","Asia Tenggara --- ASEAN  ","Import",,,""
"CHN","8542","ASEAN",2019,6,22581221.803,"China","Asia Tenggara --- ASEAN  ","Export",9405680,0,"N.Q."
"CHN","8542","ASEAN",2020,5,68888997.661,"China","Asia Tenggara --- ASEAN  ","Import",,,""
"CHN","8542","ASEAN",2020,6,27385453.267,"China","Asia Tenggara --- ASEAN  ","Export",,,""
"CHN","8542","BRN",2017,5,0.025,"China","Brunei","Import",0,0,"N.Q."
"CHN","8542","BRN",2017,6,3.819,"China","Brunei","Export",9,0,"N.Q."
"CHN","8542","BRN",2018,5,3.797,"China","Brunei","Import",3,0,"N.Q."
"CHN","8542","BRN",2018,6,20.228,"China","Brunei","Export",0,0,"N.Q."
"CHN","8542","BRN",2019,6,19.692,"China","Brunei","Export",14,0,"N.Q."
"CHN","8542","BRN",2020,5,2.402,"China","Brunei","Import",2,5200,"Item"
"CHN","8542","BRN",2020,6,20.841,"China","Brunei","Export",9,853,"Item"
"CHN","8542","IDN",2017,5,145771.423,"China","Indonesia","Import",207841,0,"N.Q."
"CHN","8542","IDN",2017,6,67938.34,"China","Indonesia","Export",229579,0,"N.Q."
"CHN","8542","IDN",2018,5,153487.927,"China","Indonesia","Import",212780,0,"N.Q."
"CHN","8542","IDN",2018,6,221971.882,"China","Indonesia","Export",205917,0,"N.Q."
"CHN","8542","IDN",2019,5,127744.372,"China","Indonesia","Import",170315,0,"N.Q."
"CHN","8542","IDN",2019,6,165454.383,"China","Indonesia","Export",240486,0,"N.Q."
"CHN","8542","IDN",2020,5,120378.641,"China","Indonesia","Import",161588,0,"N.Q."
"CHN","8542","IDN",2020,6,99807.579,"China","Indonesia","Export",205659,0,"N.Q."
"CHN","8542","KHM",2017,5,11.782,"China","Cambodia","Import",1,0,"N.Q."
"CHN","8542","KHM",2017,6,96.493,"China","Cambodia","Export",340,0,"N.Q."
"CHN","8542","KHM",2018,5,408.386,"China","Cambodia","Import",52,354338,"Item"
"CHN","8542","KHM",2018,6,554.122,"China","Cambodia","Export",0,0,"N.Q."
"CHN","8542","KHM",2019,5,1.305,"China","Cambodia","Import",86,1440,"Item"
"CHN","8542","KHM",2019,6,1317.853,"China","Cambodia","Export",2275,0,"N.Q."
"CHN","8542","KHM",2020,5,6.369,"China","Cambodia","Import",1,861,"Item"
"CHN","8542","KHM",2020,6,2791.99,"China","Cambodia","Export",7935,0,"N.Q."
"CHN","8542","LAO",2017,6,181.821,"China","Lao PDR","Export",991,0,"N.Q."
"CHN","8542","LAO",2018,5,1.073,"China","Lao PDR","Import",2,2,"Kg"
"CHN","8542","LAO",2018,6,64.981,"China","Lao PDR","Export",5149,0,"N.Q."
"CHN","8542","LAO",2019,6,45.257,"China","Lao PDR","Export",363,0,"N.Q."
